System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
SAP S4,SAP S4,306371,1 LETTERMAN DRIVE  SUITE D4700,THE LINUX FOUNDATION,SAN FRANCISCO,CA,US,94129
SAP S4,SAP S4,305083,1 LETTERMAN DRIVE BLDG C #M900,SPMB,SAN FRANCISCO,CA,US,94129
CASS,P,Z737 001,1 MACK DR,MCDEVITT TRUCK SALES,AVON,MA,US,2322
PTS,,Z737-001,1 Mack Dr,McDevitt Truck Sales,AVON,MA,USA,2322
KW Australia,,6005540,1 Madison Avenue,Borgwarner Cooling Systems,CADILLAC,MI,US    ,49601
CASS,T,UNK,1 MAIN ST,AMPAC,SHIRLEY,MA,US,1464
CASS,T,UNK,1 MANISCHEWITZ PLZ,THE B MANISCHEWITZCOMPANY,JERSEY CITY,NJ,US,7302
CASS,P,P011,1 MANITOU RD,B M HAULING,MANITOUWADGE,ON,CA,P0T2C0
CASS,W,UNK,1 MAPLE LEAF ROAD,HULLEN TRUCKING,ALDERSYDE,AB,CA,T0L0A0
SAP S4,SAP S4,300458,"1 MARITIME PLAZA, SUITE 7",TOLEDO-LUCAS COUNTY PORT AUTHORITY,TOLEDO,OH,US,43604-0000
CASS,D,20948AA,1 MARKIN LANE,MARKIN TUBING M R INDUSTRIES,WYOMING,NY,US,14591
PPD Australia,,8228006,1 MCCABE PLACE,Marine Acquisition (TELEFLEX MORSE),Chatswood,NSW,AU    ,2067
SAP S4,SAP S4,305574,1 MILLENNIUM DR,RADWELL INTERNATIONAL INC,WILLINGBORO,NJ,US,08046-1000
CASS,W,3893,1 MISCO PLAZA,MISCO,HOLMDEL,NJ,US,7733
PTS,,3893,1 MISCO PLAZA,MISCO,HOLMDEL,NJ,USA,7733
CASS,P,P627,1 N CENTRAL DR,MID AMERICA PETERBILT,O FALLON,MO,US,63366
CASS,W,5990,1 NALCO CENTER,NALCO CHEMETALL,NAPERVILLE,IL,US,60563
PTS,,5990,1 NALCO CENTER,DO NOT USE - NALCO -CHEMETALL,NAPERVILLE,IL,USA,60563
CASS,P,UNK,1 NE COLUMBIA BLVD,PENSKE,PORTLAND,OR,US,97211
CASS,T,UNK,1 NEW YORK AVE,BOSE CORP,FRAMINGHAM,MA,US,1701
SAP S4,SAP S4,306523,1 NORTH LASALLE ST  SUITE 1800,PRA EVENTS  INC,CHICAGO,IL,US,60602
CASS,P,UNK,1 NOYES AVE,AMERICAN SURPLUS INC,EAST PROVIDENCE,RI,US,2916
SAP S4,SAP S4,305459,1 NW OOIDA DRIVE (PO BOX 1000),CUL C/O OWNER OPERATOR,GRAIN VALLEY,MO,US,64029
CASS,W,8476,1 OHIO MACHINERY BLVD,OHIO CAT,GIRARD,OH,US,44420
SAP S4,SAP S4,O108,1 OHIO MACHINERY BLVD,N OHIO PB - YOUNGSTOWN II,YOUNGSTOWN,OH,US,44420
CASS,P,O108,1 OHIO MACHINERY BLVD,NORTHERN OHIO PB YOUNGSTOWN,YOUNGSTOWN,OH,US,44502
SAP S4,SAP S4,302636,"1 OHIO UNIVERSITY, 020 CHUBB HALL",OHIO UNIVERSITY ATHENS,ATHENS,OH,US,45701
CASS,P,UNK,1 PACKER ST,CAROLINA PRIDE FOODS,GREENWOOD,SC,US,29646
SAP S4,SAP S4,306441,1 PEARL STREET,"SKM SYSTEMS ANALYSIS, INC",REDONDO BEACH,CA,US,90277
CASS,P,P875,1 PETERBILT DR,PB TRUCK CENTER OF LITTLE ROCK,LITTLE ROCK,AR,US,72117
CASS,P,P875,1 PETERBILT DR,PB TRUCK CENTER OF LITTLE ROCK,LITTLE ROCK,AR,US,72117
