pec,Material,Description
pec,1979194,"Clip,hose/pipe"
pec,1979199,"Bracket,mounting"
pec,1979200,"Pipe,coolant,00-11"
pec,1979201,"Pipe,coolant,00-11"
pec,1979202,"Pipe,coolant,00-11"
pec,1979204,"Pipe,coolant,00-11"
pec,1981648,Coup.q.rel.fml.
pec,1982634,"Valve,inlet,cyl.head"
pec,1982635,"Valve,exh.cyl.head"
pec,1993509,Flywheel
pec,1993511,Flywheel
pec,1995381,Sensor/switch press-
pec,1999670,"Wiring harness,eng."
pec,1999895,"Bracket,cooling syst"
pec,2000084,Engine bearing shell
pec,2000085,Engine bearing shell
pec,2000205,"Pump,oil"
pec,2000736,Plug
pec,2002051,Camshaft
pec,2003400,"Piston set,engine"
pec,2003641,Sensor/switch press-
pec,2004008,"Strap,clmpg.plast."
pec,2004268,"Pipe,coolant,11-31"
pec,2004842,Connecting rod
pec,2005596,Injector
pec,2005989,"Vibration damper,eng"
pec,2005990,"Vibration damper,eng"
pec,2006244,ECU emission rel.
pec,2006246,ECU emission rel.
pec,2006822,Connecting piece
pec,2007185,"Pump,water"
pec,2007425,Gear wheel
pec,2007426,Gear wheel
pec,2007428,Gear wheel
pec,2007501,Crankshaft
pec,2008725,"Ring/disc,puls gen."
pec,2008923,"Wiring harness,eng."
pec,2009462,Sensor/switch temp.-
pec,2009494,"Bracket,elect.eqpt."
pec,2011392,Flywheel housing
pec,2012567,Camshaft
pec,2013449,Holder
pec,2013452,Holder
pec,2014306,"Bolt,flange-smooth"
pec,2014482,Venturi
pec,2014633,Push rod
pec,2014634,Push rod
pec,2014726,"Bracket,elect.eqpt."
pec,2015228,Electronic unit
pec,2015562,"Bracket,alternator"
pec,2019364,Tension pulley
pec,2020640,"Compressor,air"
pec,2020644,"Compressor,air"
pec,2021251,"Pipe,fuel system"
pec,2021265,"Filter,fuel"
pec,2021391,Venturi
pec,2021539,"Pipe,air inlet syst."
pec,2022354,Bridge valve train
pec,2022355,Bridge valve train
pec,2022407,Oil pan
pec,2022708,"Bush,20-29.9 o.d."
pec,2025120,"Ring,sealing"
pec,2025411,Conn.piece with seal
pec,2027600,"Frame,fixing"
pec,2028216,"Vibration damper,eng"
pec,2028771,"Bracket,exh.,engine"
pec,2029687,"Bracket,v-,obtuse"
pec,2029688,"Bracket,v-,obtuse"
pec,2030736,Valve guide
pec,2031190,"Pipe,coolant,11-31"
pec,2031300,Camshaft
pec,2032518,"Pipe,sensor"
pec,2033020,"Pipe,coolant,11-31"
pec,2033254,"Cover,valve"
pec,2033264,"Screw,shoulder"
pec,2033373,"Plate,locking-"
pec,2033390,"Pipe,coolant,11-31"
pec,2033487,"Nozzle,oil"
pec,2034516,"Label,marking"
pec,2034562,"Line,air breather"
pec,2035215,"Bracket,elect.eqpt."
pec,2035973,"Gasket,exhaust"
pec,2036658,"Plate,fix.devd.th.8-"
pec,2036805,"Spring clip,fixing"
pec,2037337,"Cooler, egr-"
pec,2037340,"Cooler, egr-"
pec,2037394,Electronic unit
pec,2038894,Heat shield
pec,2038939,Bonded seal
pec,2041014,Connecting piece
pec,2041430,"Bracket,v-,obtuse"
pec,2041908,"Hose,special"
pec,2042165,"Pump,water"
pec,2042810,"Pin,cylindrical"
pec,2042823,Hub
pec,2042974,"Hose,presh,rub,coola"
pec,2043594,"Bracket,elect.eqpt."
pec,2043802,Bonded seal
pec,2044251,"Strap,clmpg.plast."
pec,2044455,"Pipe,coolant,00-11"
pec,2044534,"Pin,connecting"
pec,2045438,"Pipe,coolant,51-"
pec,2045457,Mounting block
pec,2045920,"Wiring harness,eng."
pec,2046296,"Bracket,elect.eqpt."
pec,2046298,"Bracket,elect.eqpt."
pec,2046423,"Hose nozzle,ml./fml."
pec,2046439,"Pipe,coolant,11-31"
pec,2046597,Thrustwshr.camshaft
pec,2046616,"Pipe,flexible"
pec,2047424,"Frame,fixing"
pec,2047466,"Ring,sealing"
pec,2047479,"Manifold,exhaust"
pec,2047499,Venturi
pec,2047501,"Line,air breather"
pec,2047510,"Bracket,alternator"
pec,2047549,"Pipe,oil"
pec,2047550,"Pipe,oil"
pec,2047551,"Pipe,coolant,11-31"
pec,2047552,"Pipe,coolant,00-11"
pec,2047554,"Pipe,oil"
pec,2047557,"Pipe,coolant,00-11"
pec,2047566,"Pipe,coolant,00-11"
pec,2047569,"Pipe,oil"
pec,2047572,"Pipe,coolant,00-11"
pec,2047573,"Pipe,coolant,00-11"
pec,2047575,"Pipe,coolant,00-11"
pec,2047576,"Pipe,coolant,00-11"
pec,2047577,"Pipe,coolant,00-11"
pec,2047578,"Pipe,coolant,00-11"
pec,2047579,"Pipe,coolant,00-11"
pec,2047580,"Pipe,coolant,00-11"
pec,2047593,"Pipe,fuel injection"
pec,2047594,"Pipe,fuel injection"
pec,2047595,"Pipe,fuel injection"
pec,2047596,"Pipe,fuel injection"
pec,2047600,Injector
pec,2047601,Injector
pec,2047650,Thrustwshr.crankshft
pec,2047653,Engine bearing shell
pec,2047654,Engine bearing shell
pec,2047760,"Pipe,air inlet syst."
pec,2048378,"Pipe,coolant"
pec,2048384,"Pipe,coolant,51-"
pec,2049691,"Stud,shouldered,metr"
pec,2049866,"Pipe,air inlet syst."
pec,2050071,"Pipe,coolant,11-31"
pec,2050457,"Unit,lubrication"
pec,2050925,"Pipe,oil"
pec,2050928,"Pipe,compressor"
pec,2051972,"Pipe,fuel system"
pec,2051978,"Bracket,fuel syst."
pec,2052195,"Bracket,EGR"
pec,2102331,"Line,air breather"
pec,2102335,"Pipe,coolant,11-31"
pec,2102341,"Pipe,coolant,11-31"
pec,2102342,"Pipe,coolant,11-31"
